@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute myo1-1 numeric
@attribute myo1-2 numeric
@attribute myo1-3 numeric
@attribute myo1-4 numeric
@attribute myo1-5 numeric
@attribute myo1-6 numeric
@attribute myo1-7 numeric
@attribute myo1-8 numeric
@attribute myo1-9 numeric
@attribute myo1-10 numeric
@attribute myo1-11 numeric
@attribute outputs-1 {0,1,2,3}
@attribute outputs-2 numeric

@data
128,'2018/02/25 22:20:07:972',3,-0.297045,-0.189128,-0.832138,0.494118,0.505882,0.501961,0.478431,0.454902,0.482353,0.486275,0.494118,?,1
129,'2018/02/25 22:20:08:010',3,-0.296881,-0.18851,-0.827835,0.494118,0.490196,0.498039,0.490196,0.490196,0.486275,0.498039,0.494118,?,1
130,'2018/02/25 22:20:08:014',3,-0.296881,-0.18851,-0.827835,0.490196,0.494118,0.494118,0.482353,0.521569,0.490196,0.470588,0.486275,?,1
131,'2018/02/25 22:20:08:038',3,-0.296721,-0.187998,-0.826947,0.498039,0.509804,0.513726,0.478431,0.454902,0.486275,0.482353,0.494118,?,1
132,'2018/02/25 22:20:08:072',3,-0.29617,-0.187511,-0.824975,0.494118,0.486275,0.478431,0.470588,0.478431,0.494118,0.490196,0.490196,?,1
133,'2018/02/25 22:20:08:106',3,-0.295166,-0.187022,-0.824798,0.486275,0.478431,0.478431,0.447059,0.443137,0.478431,0.490196,0.490196,?,1
134,'2018/02/25 22:20:08:116',3,-0.295166,-0.187022,-0.824798,0.486275,0.478431,0.478431,0.447059,0.443137,0.478431,0.490196,0.490196,?,1
135,'2018/02/25 22:20:08:140',3,-0.294935,-0.186641,-0.824018,0.498039,0.490196,0.490196,0.552941,0.552941,0.505882,0.490196,0.498039,?,1
136,'2018/02/25 22:20:08:175',3,-0.29441,-0.186118,-0.821783,0.494118,0.498039,0.505882,0.521569,0.509804,0.498039,0.498039,0.494118,?,1
137,'2018/02/25 22:20:08:208',3,-0.294205,-0.186421,-0.819573,0.498039,0.498039,0.494118,0.470588,0.466667,0.482353,0.486275,0.498039,?,1
138,'2018/02/25 22:20:08:240',3,-0.294541,-0.187095,-0.816619,0.486275,0.482353,0.498039,0.509804,0.509804,0.498039,0.494118,0.501961,?,1
139,'2018/02/25 22:20:08:276',3,-0.294969,-0.187762,-0.815582,0.486275,0.482353,0.47451,0.466667,0.494118,0.505882,0.537255,0.498039,?,1
140,'2018/02/25 22:20:08:280',3,-0.294969,-0.187762,-0.815582,0.505882,0.513726,0.509804,0.486275,0.498039,0.486275,0.478431,0.490196,?,1
141,'2018/02/25 22:20:08:305',3,-0.296178,-0.188469,-0.815054,0.494118,0.501961,0.498039,0.513726,0.509804,0.498039,0.482353,0.490196,?,1
142,'2018/02/25 22:20:08:338',3,-0.296697,-0.188266,-0.814961,0.498039,0.490196,0.482353,0.47451,0.482353,0.490196,0.486275,0.498039,?,1
143,'2018/02/25 22:20:08:375',3,-0.297226,-0.187999,-0.81442,0.482353,0.482353,0.47451,0.482353,0.517647,0.494118,0.501961,0.482353,?,1
144,'2018/02/25 22:20:08:380',3,-0.297226,-0.187999,-0.81442,0.482353,0.482353,0.47451,0.482353,0.517647,0.494118,0.501961,0.482353,?,1
145,'2018/02/25 22:20:08:407',3,-0.296981,-0.188063,-0.816709,0.501961,0.494118,0.494118,0.52549,0.505882,0.501961,0.521569,0.501961,?,1
146,'2018/02/25 22:20:08:442',3,-0.29753,-0.187827,-0.819842,0.490196,0.490196,0.486275,0.478431,0.494118,0.509804,0.513726,0.498039,?,1
147,'2018/02/25 22:20:08:471',3,-0.298012,-0.187579,-0.820945,0.494118,0.494118,0.494118,0.486275,0.454902,0.482353,0.443137,0.490196,?,1
148,'2018/02/25 22:20:08:484',3,-0.298438,-0.187526,-0.821073,0.490196,0.482353,0.482353,0.45098,0.403922,0.470588,0.498039,0.490196,?,1
